date,time,name,status,confidence,image_path
22-02-2026,20:30:52,11,late,0.67,images/22-02-2026/20-30-52-588842.jpg
22-02-2026,20:31:44,1,late,1.00,images/22-02-2026/20-31-44-446639.jpg
